事件序号,事件起始编号,事件终止编号
1,3,3
2,57,57
3,382,385
4,405,405
5,408,408
6,411,594
7,613,619
8,660,666
9,668,763
10,766,766
11,773,923
12,1026,1062
13,1065,1135
14,1140,1140
15,1142,1144
16,1259,1259
17,1346,1346
18,1348,1355
19,1357,1387
20,1389,1423
21,1425,1425
22,1445,1446
23,1451,1461
24,1482,1533
25,1572,1581
26,1583,1633
27,1642,1642
28,1660,1712
29,1715,1761
30,1877,1877
31,1880,1880
32,1882,1884
33,2069,2208
34,2221,2253
35,2256,2282
36,2290,2382
37,2386,2386
38,2452,2452
39,2455,2464
40,2466,2529
41,2534,2534
42,2547,2616
43,2719,2773
44,2782,2854
45,2904,2904
46,2906,2906
47,2908,2908
48,3059,3059
49,3191,3191
50,3208,3208
51,3240,3240
52,3349,3349
53,3352,3467
54,3473,3520
55,3570,3635
56,3638,3697
57,3736,3736
58,3745,3745
59,3820,3821
60,3959,3961
61,3963,3963
62,4017,4085
63,4106,4124
64,4130,4188
65,4212,4259
66,4262,4310
67,4314,4314
68,4316,4316
69,4318,4318
70,4904,4911
71,4913,4971
72,4974,5050
73,5055,5121
74,5124,5159
75,6218,6218
76,6237,6396
77,6450,6551
78,6626,6700
79,6719,6771
80,6785,6824
81,6827,6882
82,6885,6885
83,6887,6887
84,7356,7362
85,7364,7476
86,7481,7489
87,7498,7498
88,7607,7702
89,7717,7816
90,7819,7851
91,7854,7888
92,7891,7891
93,7921,7934
94,8556,8567
95,8571,8571
96,8617,8778
97,8823,8870
98,8891,8920
99,8923,8986
100,9059,9059
101,9124,9124
102,9129,9141
103,9275,9333
104,9342,9393
105,9422,9465
106,9467,9503
107,9506,9506
108,9508,9508
109,9625,9625
110,9627,9627
111,9630,9632
112,9835,9974
113,9993,10089
114,10202,10202
115,10214,10214
116,10218,10218
117,10241,10312
118,10330,10366
119,10376,10412
120,10416,10420
121,10423,10466
122,10469,10510
123,10512,10519
124,10523,10523
125,10525,10525
126,10527,10527
127,10530,10533
128,10535,10540
129,10600,10709
130,10721,10786
131,10792,10835
132,10840,10918
133,11164,11164
134,11166,11166
135,11169,11169
136,11209,11320
137,11383,11470
138,11491,11566
139,11658,11658
140,11660,11773
141,11776,11843
142,12143,12246
143,12257,12358
144,12414,12419
145,12421,12421
146,12429,12429
147,12445,12445
148,12490,12532
149,12534,12593
150,12721,12726
151,12790,12790
152,12891,13035
153,13045,13101
154,13108,13198
155,13221,13265
156,13268,13277
157,13282,13289
158,13561,13561
159,13614,13640
160,13645,13725
161,13731,13772
162,13778,13857
163,13865,13905
164,13910,13910
165,13957,13961
166,14084,14121
167,14125,14237
168,14271,14439
169,14548,14548
170,14550,14550
171,14559,14559
172,14590,14686
173,14710,14710
174,14712,14765
175,14770,14826
176,15308,15308
177,15327,15327
178,15379,15387
179,15396,15408
180,15418,15473
181,15489,15584
182,15592,15673
183,15687,15687
184,15706,15708
185,15860,15863
186,15885,15886
187,16062,16062
188,16064,16163
189,16166,16172
190,16187,16201
191,16208,16219
192,16221,16222
193,16224,16236
194,16238,16281
195,16288,16346
196,16357,16365
197,16533,16554
198,16564,16564
199,16566,16567
200,16569,16582
201,16633,16633
202,16635,16635
203,16746,16746
204,16748,16753
205,16789,16901
206,16952,17026
207,17031,17033
208,17048,17048
209,17213,17214
210,17227,17227
211,17277,17277
212,17508,17540
213,17765,17765
214,17767,17768
215,17796,17797
216,17844,17847
217,17897,17897
218,17998,18142
219,18199,18256
220,18260,18325
221,18372,18372
222,18406,18415
223,18420,18429
224,18432,18451
225,18453,18453
226,18466,18471
227,18535,18536
228,18539,18585
229,18590,18653
230,18670,18745
231,18799,18799
232,18801,18801
